ID,Name,Description,Bodypart,Object,Feature_Spec
SkinAndLeather,Colexification of SKIN and LEATHER,Computes if the concepts SKIN and LEATHER are expressed with the same form in a language (i.e. they are colexified),SKIN,LEATHER,
SkinAndBark,Colexification of SKIN and BARK,Computes if the concepts SKIN and BARK are expressed with the same form in a language (i.e. they are colexified),SKIN,BARK,
NeckAndCollar,Colexification of NECK and COLLAR,Computes if the concepts NECK and COLLAR are expressed with the same form in a language (i.e. they are colexified),NECK,COLLAR,
TesticlesAndEgg,Colexification of TESTICLES and EGG,Computes if the concepts TESTICLES and EGG are expressed with the same form in a language (i.e. they are colexified),TESTICLES,EGG,
HeadAndTop,Colexification of HEAD and TOP,Computes if the concepts HEAD and TOP are expressed with the same form in a language (i.e. they are colexified),HEAD,TOP,
ButtocksAndBottom,Colexification of BUTTOCKS and BOTTOM,Computes if the concepts BUTTOCKS and BOTTOM are expressed with the same form in a language (i.e. they are colexified),BUTTOCKS,BOTTOM,
MouthAndEdge,Colexification of MOUTH and EDGE,Computes if the concepts MOUTH and EDGE are expressed with the same form in a language (i.e. they are colexified),MOUTH,EDGE,
LipAndEdge,Colexification of LIP and EDGE,Computes if the concepts LIP and EDGE are expressed with the same form in a language (i.e. they are colexified),LIP,EDGE,
SkinAndShell,Colexification of SKIN and SHELL,Computes if the concepts SKIN and SHELL are expressed with the same form in a language (i.e. they are colexified),SKIN,SHELL,
IntestinesAndSausage,Colexification of INTESTINES and SAUSAGE,Computes if the concepts INTESTINES and SAUSAGE are expressed with the same form in a language (i.e. they are colexified),INTESTINES,SAUSAGE,
BodyAndTreetrunk,Colexification of BODY and TREE TRUNK,Computes if the concepts BODY and TREE TRUNK are expressed with the same form in a language (i.e. they are colexified),BODY,TREE TRUNK,
FingernailAndNailtool,Colexification of FINGERNAIL and NAIL (TOOL),Computes if the concepts FINGERNAIL and NAIL (TOOL) are expressed with the same form in a language (i.e. they are colexified),FINGERNAIL,NAIL (TOOL),
NoseAndCape,Colexification of NOSE and CAPE,Computes if the concepts NOSE and CAPE are expressed with the same form in a language (i.e. they are colexified),NOSE,CAPE,
EyeAndSeed,Colexification of EYE and SEED,Computes if the concepts EYE and SEED are expressed with the same form in a language (i.e. they are colexified),EYE,SEED,
HeartAndFirewood,Colexification of HEART and FIREWOOD,Computes if the concepts HEART and FIREWOOD are expressed with the same form in a language (i.e. they are colexified),HEART,FIREWOOD,
BloodvesselAndRoot,Colexification of BLOOD VESSEL and ROOT,Computes if the concepts BLOOD VESSEL and ROOT are expressed with the same form in a language (i.e. they are colexified),BLOOD VESSEL,ROOT,
ThroatAndCollar,Colexification of THROAT and COLLAR,Computes if the concepts THROAT and COLLAR are expressed with the same form in a language (i.e. they are colexified),THROAT,COLLAR,
