ID,Name,Description,ColumnSpec,Bodypart,Object,Feature_Spec
AnkleAndKnot,Colexification of ANKLE and KNOT,Computes if the concepts ANKLE and KNOT are expressed with the same form in a language (i.e. they are colexified),,ANKLE,KNOT,
AnkleAndRoot,Colexification of ANKLE and ROOT,Computes if the concepts ANKLE and ROOT are expressed with the same form in a language (i.e. they are colexified),,ANKLE,ROOT,
AnkleAndSpearthrower,Colexification of ANKLE and SPEARTHROWER,Computes if the concepts ANKLE and SPEARTHROWER are expressed with the same form in a language (i.e. they are colexified),,ANKLE,SPEARTHROWER,
BackAndBark,Colexification of BACK and BARK,Computes if the concepts BACK and BARK are expressed with the same form in a language (i.e. they are colexified),,BACK,BARK,
BackAndRoof,Colexification of BACK and ROOF,Computes if the concepts BACK and ROOF are expressed with the same form in a language (i.e. they are colexified),,BACK,ROOF,
BellyAndFire,Colexification of BELLY and FIRE,Computes if the concepts BELLY and FIRE are expressed with the same form in a language (i.e. they are colexified),,BELLY,FIRE,
BellyAndPen,Colexification of BELLY and PEN,Computes if the concepts BELLY and PEN are expressed with the same form in a language (i.e. they are colexified),,BELLY,PEN,
BloodvesselAndRoot,Colexification of BLOOD VESSEL and ROOT,Computes if the concepts BLOOD VESSEL and ROOT are expressed with the same form in a language (i.e. they are colexified),,BLOOD VESSEL,ROOT,
BodyAndLeather,Colexification of BODY and LEATHER,Computes if the concepts BODY and LEATHER are expressed with the same form in a language (i.e. they are colexified),,BODY,LEATHER,
BodyAndShell,Colexification of BODY and SHELL,Computes if the concepts BODY and SHELL are expressed with the same form in a language (i.e. they are colexified),,BODY,SHELL,
BodyAndTreetrunk,Colexification of BODY and TREE TRUNK,Computes if the concepts BODY and TREE TRUNK are expressed with the same form in a language (i.e. they are colexified),,BODY,TREE TRUNK,
BoneAndEgg,Colexification of BONE and EGG,Computes if the concepts BONE and EGG are expressed with the same form in a language (i.e. they are colexified),,BONE,EGG,
BoneAndPlantstem,Colexification of BONE and PLANT STEM,Computes if the concepts BONE and PLANT STEM are expressed with the same form in a language (i.e. they are colexified),,BONE,PLANT STEM,
