ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment
abrahammonpa-HrusoAkaJamiri-103_hair-1,hrus1242,ʔeketʃe,,,HAIR (HEAD),,
abrahammonpa-HrusoAkaJamiri-105_hand-1,hrus1242,ʔagdʒə,,,HAND,,
abrahammonpa-HrusoAkaJamiri-106_head-1,hrus1242,ʔekhje,,,HEAD,,
abrahammonpa-HrusoAkaJamiri-107_heartorgan-1,hrus1242,ʔə̆lə̆biu,,,HEART,,
abrahammonpa-HrusoAkaJamiri-121_leaf-1,hrus1242,ʔə̆xe,,,LEAF,,
abrahammonpa-HrusoAkaJamiri-140_mountain-1,hrus1242,phu,,,MOUNTAIN,,
abrahammonpa-HrusoAkaJamiri-141_mouth-1,hrus1242,ʔə̆nzu,,,MOUTH,,
abrahammonpa-HrusoAkaJamiri-146_neck-1,hrus1242,ʔənəxo,,,NECK,,
abrahammonpa-HrusoAkaJamiri-152_nose-1,hrus1242,ʔuʃə,,,NOSE,,
abrahammonpa-HrusoAkaJamiri-15_axe-1,hrus1242,phodʒe,,,AXE,,
abrahammonpa-HrusoAkaJamiri-16_back-1,hrus1242,ʔə̆tʃəbo,,,BACK,,
abrahammonpa-HrusoAkaJamiri-177_roof-1,hrus1242,ɲeltʃə,,,ROOF,,
abrahammonpa-HrusoAkaJamiri-178_root-1,hrus1242,ʔə̆kʃe,,,ROOT,,
abrahammonpa-HrusoAkaJamiri-184_seed-1,hrus1242,ʔə̆sə,,,SEED,,
abrahammonpa-HrusoAkaJamiri-190_skin-1,hrus1242,ʔə̆tʃhə,,,SKIN,,
abrahammonpa-HrusoAkaJamiri-191_sky-1,hrus1242,medze,,,SKY,,
abrahammonpa-HrusoAkaJamiri-204_star-1,hrus1242,lə̆tsə,,,STAR,,
abrahammonpa-HrusoAkaJamiri-207_sun-1,hrus1242,dɹu,,,SUN,,
abrahammonpa-HrusoAkaJamiri-217_thorn-1,hrus1242,kutʃu,,,THORN,,
abrahammonpa-HrusoAkaJamiri-22_belly-1,hrus1242,ʔə̆ləxo,,,BELLY,,
abrahammonpa-HrusoAkaJamiri-279_tongue-1,hrus1242,ʔedʒabla,,,TONGUE,,
abrahammonpa-HrusoAkaJamiri-280_tooth-1,hrus1242,ʔethu,,,TOOTH,,
abrahammonpa-HrusoAkaJamiri-281_tree-1,hrus1242,ʃoɲi,,,TREE,,
abrahammonpa-HrusoAkaJamiri-32_body-1,hrus1242,ʔoso,,,BODY,,
abrahammonpa-HrusoAkaJamiri-33_bone-1,hrus1242,ʔə̆xə̆be,,,BONE,,
abrahammonpa-HrusoAkaJamiri-35_branch-1,hrus1242,ʔoɸotsa,,,BRANCH,,
abrahammonpa-HrusoAkaJamiri-35_branch-2,hrus1242,ʃoɸo,,,BRANCH,,
abrahammonpa-HrusoAkaJamiri-62_door-1,hrus1242,ɲĕgdəʃe,,,DOOR,,
abrahammonpa-HrusoAkaJamiri-66_ear-1,hrus1242,ʔĕɸə,,,EAR,,
abrahammonpa-HrusoAkaJamiri-67_egg-1,hrus1242,dʒedʒe,,,EGG,,
abrahammonpa-HrusoAkaJamiri-70_elbow-1,hrus1242,apobe,,,ELBOW,,
abrahammonpa-HrusoAkaJamiri-77_eye-1,hrus1242,ʔiɲi,,,EYE,,
abrahammonpa-HrusoAkaJamiri-78_face-1,hrus1242,ʔokhumo,,,FACE,,
abrahammonpa-HrusoAkaJamiri-86_fingernail-1,hrus1242,ʔĕdʒitʃə,,,FINGERNAIL,,
abrahammonpa-HrusoAkaJamiri-87_fire-1,hrus1242,mi,,,FIRE,,
abrahammonpa-HrusoAkaJamiri-92_foot-1,hrus1242,ʔə̆ʃə̆ku,,,FOOT,,
abrahammonpa-HrusoAkaJamiri-96_fruit-1,hrus1242,ʃə̆dʒe,,,FRUIT,,
abrahammonpa-MonpaChangprong-103_hair-1,dakp1242,khra,,,HAIR (HEAD),,
abrahammonpa-MonpaChangprong-105_hand-1,dakp1242,lah̥,,,HAND,,
abrahammonpa-MonpaChangprong-106_head-1,dakp1242,kæktuŋ,,,HEAD,,
abrahammonpa-MonpaChangprong-107_heartorgan-1,dakp1242,niŋ,,,HEART,,
abrahammonpa-MonpaChangprong-121_leaf-1,dakp1242,palăp,,,LEAF,,
abrahammonpa-MonpaChangprong-140_mountain-1,dakp1242,lah̥,,,MOUNTAIN,,
abrahammonpa-MonpaChangprong-141_mouth-1,dakp1242,kha,,,MOUTH,,
abrahammonpa-MonpaChangprong-146_neck-1,dakp1242,ɲeu,,,NECK,,
abrahammonpa-MonpaChangprong-152_nose-1,dakp1242,nah̥,,,NOSE,,
abrahammonpa-MonpaChangprong-15_axe-1,dakp1242,tewan,,,AXE,,
abrahammonpa-MonpaChangprong-16_back-1,dakp1242,geptiŋ,,,BACK,,
abrahammonpa-MonpaChangprong-177_roof-1,dakp1242,phaŋ,,,ROOF,,
abrahammonpa-MonpaChangprong-178_root-1,dakp1242,rawaʔ,,,ROOT,,
abrahammonpa-MonpaChangprong-184_seed-1,dakp1242,ʒu,,,SEED,,
abrahammonpa-MonpaChangprong-190_skin-1,dakp1242,pep,,,SKIN,,
abrahammonpa-MonpaChangprong-191_sky-1,dakp1242,ŋam,,,SKY,,
abrahammonpa-MonpaChangprong-191_sky-2,dakp1242,namduŋ,,,SKY,,
abrahammonpa-MonpaChangprong-204_star-1,dakp1242,dydʒy̆k,,,STAR,,
abrahammonpa-MonpaChangprong-204_star-2,dakp1242,karma,,,STAR,,
abrahammonpa-MonpaChangprong-207_sun-1,dakp1242,ŋam,,,SUN,,
abrahammonpa-MonpaChangprong-207_sun-2,dakp1242,plaŋ,,,SUN,,
abrahammonpa-MonpaChangprong-217_thorn-1,dakp1242,tʃu,,,THORN,,
abrahammonpa-MonpaChangprong-22_belly-1,dakp1242,kepa,,,BELLY,,
abrahammonpa-MonpaChangprong-279_tongue-1,dakp1242,leh̥,,,TONGUE,,
abrahammonpa-MonpaChangprong-280_tooth-1,dakp1242,wah̥,,,TOOTH,,
abrahammonpa-MonpaChangprong-281_tree-1,dakp1242,ʃjaŋ,,,TREE,,
abrahammonpa-MonpaChangprong-32_body-1,dakp1242,luipo,,,BODY,,
abrahammonpa-MonpaChangprong-33_bone-1,dakp1242,reipa,,,BONE,,
abrahammonpa-MonpaChangprong-35_branch-1,dakp1242,ăla,,,BRANCH,,
abrahammonpa-MonpaChangprong-62_door-1,dakp1242,koh̥,,,DOOR,,
abrahammonpa-MonpaChangprong-66_ear-1,dakp1242,nelăp,,,EAR,,
abrahammonpa-MonpaChangprong-67_egg-1,dakp1242,khalum,,,EGG,,
abrahammonpa-MonpaChangprong-70_elbow-1,dakp1242,gɾumoŋ,,,ELBOW,,
abrahammonpa-MonpaChangprong-77_eye-1,dakp1242,meloŋ,,,EYE,,
abrahammonpa-MonpaChangprong-78_face-1,dakp1242,bah̥,,,FACE,,
abrahammonpa-MonpaChangprong-86_fingernail-1,dakp1242,zimpoŋ,,,FINGERNAIL,,
abrahammonpa-MonpaChangprong-87_fire-1,dakp1242,me,,,FIRE,,
